,ru_cat,ru_qty,lat_cat,lat_qty
0,А,1226,A,3228.0
1,Б,1687,B,1011.0
2,В,533,C,2522.0
3,К,2320,D,1081.0
4,Г,1016,E,1038.0
5,П,1801,F,209.0
6,Д,784,G,691.0
7,Е,103,H,1091.0
8,Ё,2,I,356.0
9,О,811,J,86.0
10,Ж,412,K,234.0
11,Я,213,L,1047.0
12,З,645,M,1744.0
13,И,354,N,838.0
14,Й,4,O,868.0
15,С,1826,P,2701.0
16,Л,712,Q,45.0
17,М,1307,R,504.0
18,Н,471,S,1828.0
19,Р,588,T,1382.0
20,Т,1012,U,142.0
21,У,272,V,181.0
22,Ф,197,W,94.0
23,Х,288,X,177.0
24,Ц,228,Y,46.0
25,Ч,692,Z,213.0
26,Ш,286,,
27,Щ,159,,
28,Э,223,,
29,Ю,138,,
